"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E2P69_RS14870",57.6301692046281,-1.52144282689776,0.828268976115675,-1.83689462091513,0.0662254535448574,0.109137244858001
"E2P69_RS14875",3161.53852632549,-0.394200670933861,0.313987679122247,-1.25546541200549,0.209309856536762,0.29091349937182
"E2P69_RS14880",3327.92326256532,0.456633693974695,0.339045844978112,1.34681990868867,0.178038241175518,0.255363653350442
"E2P69_RS14885",5946.63139868307,0.60665469977975,0.268513645115954,2.25930678315351,0.0238643082696164,0.044575920193717
"E2P69_RS14890",8013.39925127684,2.4052590438998,0.312673656684572,7.69255417742548,1.44226376352131e-14,1.5076897638214e-13
"E2P69_RS14895",854.905466830947,0.656043902666716,0.293483600294045,2.23536818414868,0.0253931870642777,0.0471571608393153
"E2P69_RS14900",2631.19220918242,0.81355432110702,0.294566295353116,2.76187172103909,0.00574710537326226,0.0126563761942328
"E2P69_RS14905",1592.77979525106,0.769132665535498,0.277451773205927,2.77213101451199,0.00556906171204674,0.012309780816612
"E2P69_RS14910",2255.197948284,1.62556324689118,0.25705601261529,6.3237705679501,2.55256641282017e-10,1.78937050552486e-09
"E2P69_RS14915",17299.448709092,0.947260884391724,0.303894067579471,3.11707593352084,0.00182654519175061,0.00448148234987753
"E2P69_RS14920",17824.2988864253,0.735566006080718,0.227079699795401,3.23924158233195,0.00119848014718747,0.00305927827045222
"E2P69_RS14925",7294.35058838538,0.694853854322394,0.242784024003654,2.8620246211585,0.00420944205233561,0.00956816501378301
"E2P69_RS14930",25874.915525898,0.906184355959904,0.264606154639797,3.42465335771753,0.000615584306584292,0.00167052839477104
"E2P69_RS14935",2937.0883793444,0.608638898220719,0.327607469203235,1.85782973660818,0.0631931968609298,0.104636293809821
"E2P69_RS14940",9459.09063711184,0.642809698778795,0.246673088091855,2.60591742597971,0.00916285483998926,0.0191809140512376
"E2P69_RS14945",2921.54570245844,0.0813684549794316,0.29125490510153,0.27937196440028,0.779959384040202,0.837377243457319
"E2P69_RS14950",1766.43952418715,-0.150574627062387,0.290000810184097,-0.519221401370568,0.603606356495588,0.687880358727623
"E2P69_RS14955",651.463702882271,1.67785138447358,0.334990892302659,5.00864776633291,5.48137834762796e-07,2.42447816415231e-06
"E2P69_RS14960",2221.49738275784,-0.119580556173248,0.250464858605729,-0.47743446661109,0.633052775884757,0.715185029310758
"E2P69_RS14965",161.023843101686,0.040763672670686,0.547280222288828,0.0744840961001746,0.940625195486053,0.957147521437503
"E2P69_RS14970",1121.6430364647,0.712925624775118,0.342365353623004,2.08235330249029,0.0373102105161687,0.0659305520151749
"E2P69_RS14975",269.111618927106,4.26901275013731,0.630577131432555,6.7700088337154,1.28774532828893e-11,1.04497777515431e-10
"E2P69_RS14985",992.171412170602,1.63988058989633,0.364340826858085,4.5009520454733,6.764976858113e-06,2.57217123748307e-05
"E2P69_RS14990",5460.1258445888,0.991719416232149,0.25780719115604,3.84674846262105,0.0001196957421521,0.000365483851036904
"E2P69_RS14995",12698.2301930067,1.18890273985723,0.253903992301827,4.68248934992693,2.83411916896513e-06,1.12048446007143e-05
"E2P69_RS15000",3361.12854211882,-0.0332393798875114,0.251928325748847,-0.131939827681975,0.895031886049999,0.926346897447778
"E2P69_RS15005",2265.44305257853,-0.45123400143151,0.241007331917772,-1.87228329462385,0.0611674206710776,0.10172620080505
