"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E2P69_RS14870",25.6358566161379,0.539654563461437,1.29937348452214,0.415319051750469,0.677908356146308,0.743023237723519
"E2P69_RS14875",728.722186111272,0.723345392067844,0.3258407792827,2.21993512801007,0.026423171541314,0.0463965048354016
"E2P69_RS14880",734.318954341251,0.409635429824116,0.378465664423052,1.08235823835851,0.279093377271099,0.362125830633684
"E2P69_RS14885",5150.58604193963,-2.4462493971352,0.224226681429274,-10.9097159247161,1.03579512937396e-27,2.13568649200127e-26
"E2P69_RS14890",2686.94136871623,-1.66037416631962,0.29637811047142,-5.60221591155507,2.11628709890552e-08,9.62263730015445e-08
"E2P69_RS14895",1031.19020827853,-3.2623128605119,0.247514247428711,-13.1803033336556,1.1393181276308e-39,4.51929523960217e-38
"E2P69_RS14900",1467.33571940411,-1.85165944803616,0.272011003363843,-6.80729612088294,9.94500984708519e-12,6.3724563097092e-11
"E2P69_RS14905",619.33815625503,-1.11839934290918,0.31086357482454,-3.59771756321219,0.000321021940092548,0.000821792489542387
"E2P69_RS14910",726.230051591991,-1.02810114143009,0.275439646939434,-3.73258226567563,0.000189526768021927,0.000504395520007237
"E2P69_RS14915",3736.55786873535,0.529120004688925,0.291994583105423,1.8120884266469,0.0699725343449104,0.109975700206246
"E2P69_RS14920",4092.54117428912,0.543687857246403,0.238138591058468,2.28307329286632,0.0224260514337633,0.0399164547955659
"E2P69_RS14925",2163.19688340857,-0.355262967835476,0.30273057820665,-1.17352852143323,0.240583926239894,0.320240349245496
"E2P69_RS14930",6542.90200985385,-0.107953205713303,0.241877946179161,-0.446312726805365,0.65537136434685,0.722887111362455
"E2P69_RS14935",675.171550288558,0.270724517885934,0.358475746887453,0.755210136910407,0.450122907330925,0.541369306680134
"E2P69_RS14940",2077.7028815292,1.01741884026897,0.275888545850156,3.6877893467225,0.000226210797418709,0.00059517875631644
"E2P69_RS14945",1095.88855043916,-0.102600661032564,0.313077574559362,-0.327716417175418,0.743126089198586,0.797711381833018
"E2P69_RS14950",760.25135841682,-0.919640164190149,0.306780520912829,-2.99771367964873,0.00272013095440198,0.00592849054164534
"E2P69_RS14955",200.091822048247,-1.3376638678533,0.578056095049115,-2.31407276786804,0.0206637309040529,0.0370807579557864
"E2P69_RS14960",1177.27629247429,-1.27360316848497,0.231722090888545,-5.49625270340563,3.87946478853849e-08,1.7116494538414e-07
"E2P69_RS14965",85.0098508262883,-1.26936974492149,0.649338231551415,-1.95486679089984,0.0505987951860454,0.0824506971634895
"E2P69_RS14970",285.635429432897,-0.00361184943061688,0.491313069774518,-0.00735142143129734,0.99413446717228,0.995756862794259
"E2P69_RS14975",51.5492162900248,-1.33363401497723,1.05939443247415,-1.25886447398313,0.208079287634682,0.282941636630249
"E2P69_RS14985",417.783825269914,-1.67227466435461,0.43239156605241,-3.86750065368278,0.000109956533871119,0.000305162421043863
"E2P69_RS14990",1316.97452163901,-0.303068023036293,0.2758999354951,-1.09847080062719,0.271998961152308,0.35491092518777
"E2P69_RS14995",2867.83056262477,0.0566725201457242,0.278468585157333,0.203514949859441,0.838732561885066,0.874861287315627
"E2P69_RS15000",1025.77360424753,0.209752339372942,0.26072815277237,0.804486731266289,0.421115929361764,0.511653397255469
"E2P69_RS15005",526.186932387001,1.16203013613282,0.356698934578334,3.25773368935486,0.00112305746439452,0.00264716148228815
"E2P69_RS15010",1413.2519610386,2.40122218120276,0.342382060884028,7.01328269069597,2.32790420781527e-12,1.59995396461231e-11
"E2P69_RS15015",1165.34413323849,-0.310940476542545,0.26193896200186,-1.18707226357695,0.235199117731439,0.313875144297162
"E2P69_RS15020",125.348979727282,-0.0188060141195996,0.476261547766777,-0.0394867362435247,0.968502328214671,0.976217459427682
"E2P69_RS15025",151.737175814582,1.915430458608,0.512829429289085,3.73502445299071,0.000187696948284876,0.000500805758876687
"E2P69_RS15030",694.302804624682,-0.503754160781871,0.300744336936889,-1.67502459368864,0.0939294063977219,0.142363892884466
"E2P69_RS15035",645.34471988661,0.0055394803953433,0.295788083842913,0.0187278686936056,0.985058196148513,0.988142434238573
"E2P69_RS15040",391.529523170155,1.60564742500433,0.567754258628472,2.8280676024925,0.00468299162708088,0.00979149604758628
"E2P69_RS00005",4692.59572594215,1.31796355559484,0.242374449875456,5.43771654261441,5.39677412359891e-08,2.33897650622159e-07
"E2P69_RS00015",3687.74378127921,0.30475979970236,0.248581349531779,1.2259962393655,0.220200090216707,0.296903002833469
"E2P69_RS00030",520.089937637375,-0.932993179303015,0.328949959061918,-2.83627692784543,0.00456428507265719,0.00957695079476938
"E2P69_RS00035",435.069746300493,-0.57249305889195,0.30519291050853,-1.87583996606615,0.0606772582182104,0.0967908006429899
"E2P69_RS00040",1161.05703693068,-0.564305003257534,0.311924534475821,-1.80910746314274,0.0704343098635704,0.11061798664471
"E2P69_RS00045",684.025288817318,1.07549653307631,0.319100184499902,3.37040398382046,0.000750580579184804,0.00182390204918595
"E2P69_RS00050",461.480551832297,1.42888565272883,0.363958127725921,3.92596165294282,8.63839180188542e-05,0.000243265056489877
"E2P69_RS00055",1246.21252573842,1.06305562158264,0.380144461733262,2.79645168769698,0.00516671350403622,0.0106848866654969
"E2P69_RS00060",16623.4473428174,2.23768678442825,0.185024929953124,12.0939744984375,1.13652565275919e-33,3.38116381695858e-32
"E2P69_RS00065",2970.12233957446,1.62263611892419,0.281325715179704,5.76782011515618,8.03034525012576e-09,3.8355949503181e-08
"E2P69_RS00070",1207.1640515645,-0.964924236763581,0.303533742978712,-3.17896859602609,0.00147800103242662,0.00342183118402272
"E2P69_RS00080",2757.80716431267,1.8056793680329,0.274472478976016,6.57872648933478,4.7449467646994e-11,2.88928410452822e-10
"E2P69_RS00085",5080.21606706675,-0.531567695075002,0.237669097063385,-2.23658734620108,0.0253133227062233,0.0446548026562558
"E2P69_RS00090",583.639993646803,1.15650571747126,0.358135906365426,3.22923699331955,0.00124120989652522,0.00291411455413052
"E2P69_RS00095",9417.24759688049,0.962763986845302,0.197269940318751,4.88043938822943,1.05849742934253e-06,3.90837038405286e-06
"E2P69_RS00100",746.768064745822,1.96614582781698,0.306344444944943,6.41808872418216,1.37995828510271e-10,8.04975666309915e-10
"E2P69_RS00105",5441.30042766307,-0.503468649069956,0.197464054200158,-2.54967240042393,0.0107824185362929,0.020829672172384
"E2P69_RS00110",6540.81173391585,-0.0493721558481164,0.286481253412672,-0.172339918441353,0.863170303435688,0.895641333784166
"E2P69_RS00115",15848.2163952184,-1.51617998833542,0.356753776051382,-4.2499339603824,2.13833550754421e-05,6.62661264056669e-05
"E2P69_RS00120",31433.3366296766,1.19841356548908,0.358319099896029,3.34454279952371,0.000824183119849504,0.00198883122489756
"E2P69_RS00125",13030.018074482,0.86801788089102,0.284147871205371,3.05481043095217,0.00225202818106297,0.00499185597345784
"E2P69_RS00130",11497.1454507257,0.793343769675852,0.31315707056469,2.53337332682695,0.0112970563575179,0.0217130778629728
"E2P69_RS00135",1463.09965884863,-0.119906591869751,0.287411144143362,-0.417195346503129,0.67653552868415,0.74190902500513
"E2P69_RS00140",342.069143581557,-0.438371513015818,0.316434727211407,-1.38534577692842,0.165946762540122,0.232951892814158
"E2P69_RS00145",233.670771429596,-2.34883102216506,0.557307460166089,-4.21460538401021,2.50215297665068e-05,7.64597736445348e-05
"E2P69_RS00150",474.262895527791,-0.466288137850946,0.276080594789166,-1.68895658243215,0.0912277506760258,0.138977169555833
"E2P69_RS00155",1053.20614185012,-1.4739492690879,0.312886074008467,-4.7108177433554,2.46724807077379e-06,8.62087937480943e-06
"E2P69_RS00160",927.851762280256,-1.66613590591488,0.297959856040116,-5.59181336726971,2.24710288330813e-08,1.01840952219569e-07
"E2P69_RS00165",1034.98529408372,-1.20556731787063,0.250663652674142,-4.80950191625047,1.51306845677001e-06,5.4140293148171e-06
