,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
E2P69_RS14870,9.991634694,1.401512806,1.741910523,0.804583695,0.421059954,NA
E2P69_RS14875,151.1325894,-1.084579669,0.394308488,-2.750586665,0.005948865,0.035521784
E2P69_RS14880,141.5024446,-1.250056031,0.436126847,-2.866267098,0.004153437,0.026604649
E2P69_RS14885,2544.89622,0.122173984,0.18836917,0.648588006,0.51660471,0.730136129
E2P69_RS14890,895.3176845,0.425130268,0.24860309,1.710076365,0.087251753,0.249098805
E2P69_RS14895,541.4534786,-0.33713967,0.264801658,-1.273178093,0.202954852,0.425601158
E2P69_RS14900,642.5624944,-0.041559771,0.255875051,-0.162422132,0.870973444,0.942878809
E2P69_RS14905,228.5495284,-0.20631215,0.373579296,-0.552257985,0.580771612,0.782202913
E2P69_RS14910,233.0541586,0.271421086,0.348444659,0.778950342,0.436008967,0.663524662
E2P69_RS14915,689.8747626,-0.36647903,0.260537183,-1.406628512,0.159537574,0.367785962
E2P69_RS14920,852.4680911,-0.076367321,0.268799077,-0.284105593,0.776329461,0.901156076
E2P69_RS14925,641.3973824,-0.160406067,0.326398647,-0.491442193,0.623113728,0.809548944
E2P69_RS14930,1608.051813,-0.424318864,0.224606683,-1.889164018,0.058869854,0.192906309
E2P69_RS14935,141.6519185,-0.8744384,0.424439177,-2.060220751,0.039377442,0.146028135
E2P69_RS14940,393.6586569,0.374779797,0.323268894,1.159343828,0.246316063,0.480493628
E2P69_RS14945,390.0192561,0.769881577,0.326370965,2.358915651,0.018328421,0.084076859
E2P69_RS14950,296.2619983,-0.367957633,0.339579639,-1.083568008,0.278556382,0.518686117
E2P69_RS14955,61.89770151,-0.496869781,0.751110058,-0.661513949,0.508282772,NA
E2P69_RS14960,504.0381232,-0.145546699,0.266738485,-0.545653167,0.58530437,0.784339024
E2P69_RS14965,36.272352,0.074603221,0.803068711,0.092897681,0.925984848,NA
E2P69_RS14970,70.62973617,-0.496405446,0.636000688,-0.780510862,0.435090236,0.663524662
E2P69_RS14975,7.073669989,0.543457858,1.752295745,0.310140488,0.756454124,NA
E2P69_RS14985,161.413573,0.250181515,0.458148033,0.54607135,0.585016893,0.784252098
E2P69_RS14990,302.6819727,-1.29399544,0.332520936,-3.891470584,9.96E-05,0.001295787
E2P69_RS14995,585.1618828,-0.598508822,0.303178453,-1.974113981,0.048368784,0.168883276
E2P69_RS15000,310.0759314,0.280171236,0.321050697,0.872669765,0.382843102,0.622054698
E2P69_RS15005,109.9898409,-0.033884857,0.510995373,-0.066311475,0.947129848,0.979952556
E2P69_RS15010,150.7662676,-0.460944165,0.449639475,-1.025141677,0.305296343,0.544862724
E2P69_RS15015,281.0421622,-0.797528546,0.329217215,-2.422499523,0.015414146,0.073971789
E2P69_RS15020,35.36471199,-0.200445562,0.743713311,-0.269519933,0.787529605,NA
E2P69_RS15025,27.38379951,0.411339438,0.870214831,0.47268723,0.636436339,NA
E2P69_RS15030,272.5028037,-0.280277088,0.34980327,-0.801242046,0.422991534,0.65594005
E2P69_RS15035,201.5465402,-0.766871945,0.375605991,-2.041692528,0.04118204,0.15081531
E2P69_RS15040,55.83590704,-1.242381716,0.795480891,-1.561799574,0.118335212,NA
E2P69_RS00005,904.0568307,-0.248115351,0.258362798,-0.960336987,0.336885641,0.576699763
E2P69_RS00015,1042.722218,0.187118269,0.268801075,0.696121729,0.4863526,0.706902102
E2P69_RS00030,180.7084052,-0.186505323,0.387925713,-0.480775871,0.630675801,0.813872105
E2P69_RS00035,163.6624521,0.184790091,0.37462494,0.493266922,0.621823997,0.808669599
E2P69_RS00040,450.0147167,0.541894766,0.301488461,1.797398029,0.072272453,0.222116727
E2P69_RS00045,144.3930744,-0.019865605,0.45061385,-0.044085651,0.964836131,0.985251504
E2P69_RS00050,91.37536224,-0.162159602,0.528539979,-0.306806691,0.758990515,0.891010858
E2P69_RS00055,300.9113438,-0.224159862,0.433971338,-0.51653149,0.605483251,0.80011909
