"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","26/302","74/14533",0.351351351351351,16.9079112224808,19.9851929878205,1.66628635212027e-25,2.79936107156205e-23,2.01708347888243e-23,"K03217/K03071/K02458/K03195/K03196/K02455/K02457/K02459/K02460/K02461/K02462/K02453/K03219/K03228/K03224/K03223/K03222/K03229/K03230/K03225/K03226/K03227/K03194/K03205/K03073/K03074",26
"Genetic Information Processing","Translation","ko03010","Ribosome","23/302","201/14533",0.114427860696517,5.50655662086916,9.37212166237769,3.10043372657713e-11,2.04096819932563e-09,1.47062244938877e-09,"K02956/K02996/K02871/K02990/K02963/K02950/K02864/K02863/K02867/K02946/K02906/K02926/K02892/K02886/K02965/K02890/K02982/K02994/K02933/K02952/K02986/K02879/K02967",23
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","25/302","241/14533",0.103734439834025,4.99196229837048,9.10325912764089,3.64458607022434e-11,2.04096819932563e-09,1.47062244938877e-09,"K00266/K00265/K01915/K01586/K01736/K00133/K00766/K01658/K01657/K01758/K01682/K12524/K00872/K01733/K02500/K11755/K01687/K00147/K00931/K01755/K00145/K22478/K01438/K01940/K00052",25
"Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","10/302","55/14533",0.181818181818182,8.74954846478025,8.38787430864982,1.65514221090303e-07,6.95159728579271e-06,5.00898300668021e-06,"K05515/K05837/K01928/K01929/K01000/K03588/K02563/K01924/K01921/K01925",10
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","25/302","380/14533",0.0657894736842105,3.16595503659812,6.23254522462113,3.85958432607018e-07,1.29682033355958e-05,9.34425678943306e-06,"K02233/K02226/K00768/K02231/K02232/K02225/K02227/K19221/K11752/K00128/K09458/K00059/K02303/K00382/K00950/K00859/K03179/K02302/K01955/K01956/K08679/K00941/K00568/K03147/K02372",25
"Organismal Systems","Environmental adaptation","ko04626","Plant-pathogen interaction","10/302","87/14533",0.114942528735632,5.53132374210246,6.17531860815684,1.25942187479616e-05,0.000329316943366283,0.000237289777488236,"K08598/K18879/K01181/K13409/K13408/K13454/K18876/K02358/K04079/K13472",10
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","9/302","70/14533",0.128571428571429,6.18718070009461,6.33723279419909,1.37215393069285e-05,0.000329316943366283,0.000237289777488236,"K00266/K00265/K01915/K00820/K01779/K01955/K01956/K01755/K01940",9
"Cellular Processes","Cell growth and death","ko04112","Cell cycle","6/302","31/14533",0.193548387096774,9.31403546250801,6.75036452757183,3.64034005762638e-05,0.00076447141210154,0.000550840929772413,"K02313/K03588/K02563/K03589/K03590/K03531",6
"Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","15/302","224/14533",0.0669642857142857,3.22248994796594,4.88323505353283,7.07271663862612e-05,0.00103358143545695,0.000744748528054823,"K00330/K00331/K00335/K00336/K00337/K00338/K00339/K00340/K00341/K00342/K00343/K02111/K02115/K02112/K02114",15
"Cellular Processes","Cellular community - prokaryotes","ko05111","Biofilm formation","10/302","106/14533",0.0943396226415094,4.53986005248032,5.32843247014675,7.08698754439548e-05,0.00103358143545695,0.000744748528054823,"K02458/K02455/K02457/K02459/K02460/K02461/K02462/K02463/K02453/K03563",10
"Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","8/302","67/14533",0.119402985074627,5.74597212612435,5.67200768921445,7.13042654536168e-05,0.00103358143545695,0.000744748528054823,"K01915/K01955/K01956/K01755/K00145/K22478/K01438/K01940",8
"Metabolism","Glycan biosynthesis and metabolism","ko00511","Other glycan degradation","5/302","22/14533",0.227272727272727,10.9369355809753,6.79459539582886,7.38272453897824e-05,0.00103358143545695,0.000744748528054823,"K01206/K01192/K01444/K15923/K01190",5
"Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","8/302","81/14533",0.0987654320987654,4.75284114136211,4.93386396127104,0.00027359117745346,0.00350115062363946,0.00252275890801089,"K00845/K12308/K00035/K01187/K01631/K01684/K00883/K01190",8
"Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","16/302","283/14533",0.0565371024734982,2.72070764982566,4.2583497837264,0.000291762551969955,0.00350115062363946,0.00252275890801089,"K03217/K03071/K11752/K01658/K01657/K01218/K20532/K20531/K20530/K20528/K20527/K07344/K20266/K20533/K03073/K14645",16
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","7/302","66/14533",0.106060606060606,5.10390327112181,4.86775038395313,0.000425671699476848,0.0047675230341407,0.00343524529402369,"K02433/K00604/K04567/K01878/K01879/K01873/K01890",7
"Metabolism","Energy metabolism","ko00910","Nitrogen metabolism","7/302","69/14533",0.101449275362319,4.88199443324695,4.70851224110648,0.000559291141953065,0.00571719646793943,0.00411953379582102,"K00266/K00265/K01915/K02575/K00362/K00363/K00372",7
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","9/302","113/14533",0.079646017699115,3.83276680536834,4.40368121866693,0.0005785258330653,0.00571719646793943,0.00411953379582102,"K00133/K00382/K00163/K01682/K01687/K00145/K22478/K01438/K00052",9
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","10/302","138/14533",0.072463768115942,3.48713888089068,4.27643821799425,0.000614398668356661,0.00573438757132884,0.00413192086906527,"K01638/K00121/K00128/K00090/K00029/K00382/K02160/K01961/K00163/K00001",10
"Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","10/302","142/14533",0.0704225352112676,3.38890961664024,4.16722414805938,0.000767716801470272,0.00678823277089504,0.00489127048028151,"K02233/K02226/K00768/K02231/K02232/K02225/K02227/K19221/K02303/K02302",10
"Human Diseases","Drug resistance: antimicrobial","ko01502","Vancomycin resistance","4/302","22/14533",0.181818181818182,8.74954846478025,5.29892197543867,0.000994779455220703,0.00835614742385391,0.00602103354475689,"K01929/K01000/K02563/K01921",4
"Metabolism","Lipid metabolism","ko00061","Fatty acid biosynthesis","5/302","40/14533",0.125,6.01531456953642,4.62697852944564,0.0013589362675228,0.0108714901401824,0.00783346720627181,"K09458/K00059/K02160/K01961/K02372",5
"Metabolism","Amino acid metabolism","ko00260","Glycine, serine and threonine metabolism","8/302","110/14533",0.0727272727272727,3.4998193859121,3.83376624479646,0.00207779897390679,0.0158668285280155,0.0114328651674297,"K00090/K00133/K00382/K01758/K12524/K00872/K01733/K00302",8
"Metabolism","Biosynthesis of other secondary metabolites","ko00261","Monobactam biosynthesis","4/302","28/14533",0.142857142857143,6.87464522232734,4.53262980222018,0.0025247419077607,0.0184415930653825,0.0132881153040037,"K00133/K00955/K00957/K12524",4
"Metabolism","Amino acid metabolism","ko00300","Lysine biosynthesis","5/302","48/14533",0.104166666666667,5.01276214128035,4.05651646535778,0.00308990425151123,0.0216293297605786,0.0155850433738505,"K01586/K01928/K01929/K00133/K12524",5
