"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","49/425","241/14536",0.203319502074689,6.95400536978277,16.1751661566217,1.29750630976209e-27,2.30956123137651e-25,1.63895533864684e-25,"K00058/K00266/K01915/K00003/K12524/K01739/K00641/K01736/K00133/K01609/K00766/K01658/K01620/K01657/K12526/K04093/K01758/K00548/K01738/K00927/K00872/K01733/K00013/K01089/K02501/K01814/K02500/K11755/K01687/K00800/K14170/K00147/K00931/K01755/K00145/K22478/K01438/K01940/K09065/K00052/K01649/K01754/K11258/K01652/K00053/K21071/K01953/K01439/K00674",49
"Genetic Information Processing","Translation","ko03010","Ribosome","43/425","201/14536",0.213930348258706,7.31692127597308,15.6504825189167,2.88549671942422e-25,2.56809208028755e-23,1.82241898068898e-23,"K02956/K02996/K02871/K19033/K02990/K02963/K02939/K02897/K02902/K02992/K02950/K02935/K02864/K02863/K02867/K02946/K02906/K02926/K02892/K02886/K02965/K02890/K02982/K02878/K02961/K02874/K02895/K02931/K02954/K02994/K02933/K02881/K02988/K02907/K02876/K02952/K02986/K02879/K02945/K02967/K02884/K02899/K02888",43
"Environmental Information Processing","Membrane transport","ko03070","Bacterial secretion system","26/425","74/14536",0.351351351351351,12.0170429252782,16.4888288429653,1.11048597885283e-21,6.5888834745268e-20,4.67573043727508e-20,"K03217/K02452/K02455/K02456/K02457/K02458/K02460/K02462/K03075/K02459/K02453/K03219/K03228/K03224/K03223/K03222/K03229/K03230/K03225/K03226/K03227/K03118/K02454/K03073/K03076/K03074",26
"Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","16/425","55/14536",0.290909090909091,9.94977540106952,11.5403051264935,2.25540320091334e-12,1.00365442440644e-10,7.12232589762108e-11,"K06153/K03814/K05515/K05837/K03587/K01928/K01929/K01000/K03588/K02563/K01924/K01921/K01925/K19302/K00075/K00806",16
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","38/425","380/14536",0.1,3.42023529411765,8.29663909076923,3.33159585993319e-11,1.18604812613622e-09,8.41666322509439e-10,"K01599/K02231/K02232/K02225/K02227/K19221/K11752/K00946/K00287/K00097/K00969/K01495/K09458/K00059/K02303/K01885/K02257/K00382/K00647/K01737/K00452/K00950/K00254/K00128/K00859/K03149/K02170/K02302/K01955/K01845/K08679/K00012/K02169/K00568/K18240/K03147/K02372/K00453",38
"Metabolism","Amino acid metabolism","ko00260","Glycine, serine and threonine metabolism","17/425","110/14536",0.154545454545455,5.28581818181818,7.83033258653834,1.93139006118985e-08,5.72979051486323e-07,4.06608433934706e-07,"K00865/K00058/K00003/K12524/K00090/K00133/K16066/K01620/K00060/K12526/K00382/K01758/K00872/K01733/K00302/K01754/K00274",17
"Metabolism","Amino acid metabolism","ko00290","Valine, leucine and isoleucine biosynthesis","7/425","19/14536",0.368421052631579,12.600866873065,8.78116003659921,6.46223468308211e-07,1.64325396226945e-05,1.16611753679677e-05,"K01687/K00052/K01649/K01754/K11258/K01652/K00053",7
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","9/425","47/14536",0.191489361702128,6.54938673341677,6.61298901814013,7.29088959836247e-06,0.000157639287431473,0.000111867028336941,"K01712/K00128/K00013/K01089/K02501/K01814/K02500/K11755/K00274",9
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","14/425","117/14536",0.11965811965812,4.09258924082454,5.82868637418807,7.97052576900705e-06,0.000157639287431473,0.000111867028336941,"K00133/K00627/K00382/K00163/K01687/K00145/K22478/K01438/K00052/K01649/K11258/K01652/K00053/K00658",14
"Metabolism","Energy metabolism","ko00190","Oxidative phosphorylation","20/425","224/14536",0.0892857142857143,3.05378151260504,5.37589989028649,9.61282396419344e-06,0.000171108266562643,0.000121425144810864,"K00330/K00331/K00332/K00333/K00334/K00335/K00336/K00337/K00338/K00339/K00340/K00341/K00342/K00343/K02257/K02109/K02111/K02115/K02112/K02114",20
